Time,Message
251835.8384463,b'Frame Received\r\n'
251835.9367835,b'Frame Received\r\n'
251836.0369584,b'Frame Received\r\n'
251836.1372232,b'Frame Received\r\n'
251836.2364777,b'Frame Received\r\n'
251836.3362302,b'Frame Received\r\n'
251836.4377305,b'Frame Received\r\n'
251836.5375493,b'Frame Received\r\n'
251836.6379111,b'Frame Received\r\n'
251836.7369354,b'Frame Received\r\n'
251836.8381413,b'Frame Received\r\n'
251836.937961,b'Frame Received\r\n'
251837.0363116,b'Frame Received\r\n'
251837.1375662,b'Frame Received\r\n'
251837.237916,b'Frame Received\r\n'
251837.3370805,b'Frame Received\r\n'
251837.437696,b'Frame Received\r\n'
251837.5378414,b'Frame Received\r\n'
251837.6373532,b'Frame Received\r\n'
251837.7379195,b'Frame Received\r\n'
251837.8371067,b'Frame Received\r\n'
251837.9369799,b'Frame Received\r\n'
251838.0356781,b'Frame Received\r\n'
251838.1371765,b'Frame Received\r\n'
251838.237123,b'Frame Received\r\n'
251838.337296,b'Frame Received\r\n'
251838.4372652,b'Frame Received\r\n'
251838.5370976,b'Frame Received\r\n'
251838.6372863,b'Frame Received\r\n'
251838.7374025,b'Frame Received\r\n'
251838.8373817,b'Frame Received\r\n'
251838.9372102,b'Frame Received\r\n'
251839.0357777,b'Frame Received\r\n'
251839.137121,b'Frame Received\r\n'
251839.2367032,b'Frame Received\r\n'
251839.3374255,b'Frame Received\r\n'
251839.4368447,b'Frame Received\r\n'
251839.5370002,b'Frame Received\r\n'
251839.6360367,b'Frame Received\r\n'
251839.736549,b'Frame Received\r\n'
251839.8371182,b'Frame Received\r\n'
251839.9369263,b'Frame Received\r\n'
251840.0356761,b'Frame Received\r\n'
251840.1368519,b'Frame Received\r\n'
251840.2368378,b'Frame Received\r\n'
251840.3370521,b'Frame Received\r\n'
251840.4369085,b'Frame Received\r\n'
251840.5368049,b'Frame Received\r\n'
251840.635677,b'Frame Received\r\n'
251840.7353411,b'Frame Received\r\n'
251840.836524,b'Frame Received\r\n'
251840.9363728,b'Frame Received\r\n'
251841.0357748,b'Frame Received\r\n'
251841.1359295,b'Frame Received\r\n'
251841.2363934,b'Frame Received\r\n'
251841.3365767,b'Frame Received\r\n'
251841.4365456,b'Frame Received\r\n'
251841.5361789,b'Frame Received\r\n'
251841.6364883,b'Frame Received\r\n'
251841.7360747,b'Frame Received\r\n'
251841.8360838,b'Frame Received\r\n'
251841.9358408,b'Frame Received\r\n'
251842.036322,b'Frame Received\r\n'
251842.1361107,b'Frame Received\r\n'
