Time,Message
251834.6383968,b'TX Frame Sent\r\n'
251834.7387116,b'TX Frame Sent\r\n'
251834.8386654,b'TX Frame Sent\r\n'
251834.9385902,b'TX Frame Sent\r\n'
251835.0385231,b'TX Frame Sent\r\n'
251835.1384586,b'TX Frame Sent\r\n'
251835.2384535,b'TX Frame Sent\r\n'
251835.3385794,b'TX Frame Sent\r\n'
251835.4363833,b'TX Frame Sent\r\n'
251835.537946,b'TX Frame Sent\r\n'
251835.6370408,b'TX Frame Sent\r\n'
251835.7360786,b'TX Frame Sent\r\n'
251835.8383577,b'TX Frame Sent\r\n'
251835.9365853,b'TX Frame Sent\r\n'
251836.0365703,b'TX Frame Sent\r\n'
251836.1368982,b'TX Frame Sent\r\n'
251836.2361558,b'TX Frame Sent\r\n'
251836.3362182,b'TX Frame Sent\r\n'
251836.4376804,b'TX Frame Sent\r\n'
251836.5375926,b'TX Frame Sent\r\n'
251836.6378611,b'TX Frame Sent\r\n'
251836.7366853,b'TX Frame Sent\r\n'
251836.8380787,b'TX Frame Sent\r\n'
251836.9380836,b'TX Frame Sent\r\n'
251837.0358415,b'TX Frame Sent\r\n'
251837.1374637,b'TX Frame Sent\r\n'
251837.237717,b'TX Frame Sent\r\n'
251837.3371297,b'TX Frame Sent\r\n'
251837.4374708,b'TX Frame Sent\r\n'
251837.5376171,b'TX Frame Sent\r\n'
251837.6372563,b'TX Frame Sent\r\n'
251837.7378239,b'TX Frame Sent\r\n'
251837.8371067,b'TX Frame Sent\r\n'
251837.9370462,b'TX Frame Sent\r\n'
251838.035662,b'TX Frame Sent\r\n'
251838.1370292,b'TX Frame Sent\r\n'
251838.2370238,b'TX Frame Sent\r\n'
251838.3374252,b'TX Frame Sent\r\n'
251838.4372391,b'TX Frame Sent\r\n'
251838.5369442,b'TX Frame Sent\r\n'
251838.637286,b'TX Frame Sent\r\n'
251838.7372891,b'TX Frame Sent\r\n'
251838.8372028,b'TX Frame Sent\r\n'
251838.9368814,b'TX Frame Sent\r\n'
251839.0356806,b'TX Frame Sent\r\n'
251839.1371195,b'TX Frame Sent\r\n'
251839.2366876,b'TX Frame Sent\r\n'
251839.3373684,b'TX Frame Sent\r\n'
251839.4366521,b'TX Frame Sent\r\n'
251839.5374038,b'TX Frame Sent\r\n'
251839.6360487,b'TX Frame Sent\r\n'
251839.7365434,b'TX Frame Sent\r\n'
251839.8369639,b'TX Frame Sent\r\n'
251839.9366457,b'TX Frame Sent\r\n'
251840.0353715,b'TX Frame Sent\r\n'
251840.1368516,b'TX Frame Sent\r\n'
251840.2367886,b'TX Frame Sent\r\n'
251840.336972,b'TX Frame Sent\r\n'
251840.4366766,b'TX Frame Sent\r\n'
